positive	Thanks for advising! RT@EllenBoBellen 1st formal chapter of the yr went well. Excited to be advising Beta Chi chp at University of Denver
positive	@tpolamalu  Congrats on the new contract and good luck tomorrow in Bmore!  GO STEELERS!
positive	Droid Bionic seemingly clears the FCC, may finally be headed for (US) glory http://t.co/uOXV0hr
positive	@DribblePasShoot ouch. Yeah, seeing the Lakers tomorrow will likely be enough. Lol
positive	tonight's Never Mind The Buzzcocks has the hilarious NOEL FIELDING again :) can't wait to download it tomorrow
positive	who's coming to the Marijuana March in Cardiff tomorrow? Support the cause #legalizeweed!
positive	Sneak peak: This Sunday is going to be a BIG DAY in Adventure Park!  http://t.co/eeI1H3Wb http://t.co/EcMd0guN
positive	Good to see Flacco showing some fight in the 2nd half. That's about all I can ask for at this point.
positive	#MEDIA #US #ru Klitschko is big hit with Ukrainian voters: KIEV (AFP) - Ukraine prepared Saturday... http://t.co/7yC7rdc9 #EU #UK #Obama
positive	trying to figure how long the walk from AZ to LA is..gotta see @TheGoodMad perform nov 7th.. the bf says if i walk there he'd pick me up (;
positive	good morning :) tomorrows my birthday ahhh im so excited ^_^ tonight will be amazing #beerandtacOs wattup JETS!
positive	This time tomorrow night ill be partying it up in chapel hill :) #cantwait
positive	Lloyd Robertson's last newscast is tomorrow night.  The end of an amazing career. And honestly, the end of an era #thatsthekindofdayitsbeen
positive	@Greeneye_6 Thank you! I will see you tomorrow for more Uncharted banging and Tomb Raider talk :D
positive	@augustaannette tomorrow maybe!? Like during Tok and lunch? I'll go tomorrow and you can go Wednesday? :)
positive	The Wichita Wild still have a shot to make the play offs?  Looking forward to Saturday's game! Bet some WW players get NFL contracts.
positive	@__WellsFargo November 16th, we WILL be going to see Breaking Dawn Pt. 2 ma'am!!
positive	Talk to my Dad tonight and we suppose to go to Detroit in October to c all my family nd my great granny!!
positive	A signed Tom Boonen shirt is only one of the items in the #EYclassics auction. Curious for more? Joing us this Sunday! http://t.co/glKiVhIx
positive	TONITE IT GOES DOWN!!! STREET FM on 90.1FM in NY Broadcasting worldwide at www.wusb.fm OR watch inside the studio at www.justin.tv/streetfm
positive	Controversy aside, the 2 games shown on TV for Super Sunday were great spectacles. #BestLeagueInTheWorld
positive	WOW ! Just found out that Jeff Timmons will come to Malaysia on 16 Oct for a week &amp; his wedding ceremony will be held on the 21st in KL!! xx
positive	@GR8Imperfection It's the cool, tasty Ice Cream Sandwich upgrade http://t.co/jwcWIs7E! It may take some getting used to since it's new.^TH
positive	And its finally here, Strawberry festival today 9-5 and tomorrow 10-4, thank you God for the answered prayer of no rain!!
positive	Clever! || Australian captain Michael Clarke teams up with Louis Vuitton in special cricket trunk design | Herald Sun: http://t.co/Cc1Ctr9Q
positive	Pals knock2bag tonight at Rich Mix! Come and hang out. Also you can catch me on Russell Howard's Good News tonight and tomorrow.
positive	@tombraider I'm awake! I love the cover of the new Tomb Raider! Can't wait till March 5th!
positive	@_saffronlovee It sounds so sick with Big L's 3rd verse of MVP. I've heard somebody remix that, it was dope lol
positive	Just watched The Campaign with Will Ferrell and Zack Galafianakis... Good fun for a Wednesday. #Hilarious
positive	Khader Adnan is a hero, he's the Palestinian spring and hopefully the spark of a 3rd intifada. #KhaderExists
positive	"@anathehabibti THAT'S ME EXACTLY!  hahaha...6th and 7th grade everyone made fun of me then it was all ""EDWARD OMG, JACOB 4 LYFE"" s t o p"
positive	Ben Amos doing well @Hull .Another clean sheet. He says he's enjoying the challenge of playing regular 1st team football. #MUFC
positive	It's Singapore's Independence Day today! Happy National Day! Can't wait for the parade this evening!
positive	@MrBButterfield What is a tree's favourite day of the Christian calendar? Ash Wednesday #LOLLE
positive	@popshifter @YouTube Just whip it baby, whip it all night (welcome to Soul Train fandom; may you never leave)
positive	"If ESPN has a Hank Williams ""Are You Ready For Some Football?"" song for tonight, I might pass out with happiness."
